,zipCode,Density,LandArea,Population,Wealthy
3046,94122,23738.559322,2.36,56023.0,26177.8981311
3047,94102,46531.3432836,0.67,31176.0,15423.1812292
3048,94114,21765.034965,1.43,31124.0,55081.8068693
3049,94112,23633.0357143,3.36,79407.0,18441.9432796
3050,94109,47045.3781513,1.19,55984.0,33224.3382216
3053,94127,10897.740113,1.77,19289.0,43491.6667531
3054,94134,16999.1666667,2.4,40798.0,16602.7983725
3057,94110,29756.6523605,2.33,69333.0,27502.0329136
3058,94110,29756.6523605,2.33,69333.0,27502.0329136
3062,94115,29483.0357143,1.12,33021.0,43106.9525756
3064,94110,29756.6523605,2.33,69333.0,27502.0329136
3066,94127,10897.740113,1.77,19289.0,43491.6667531
3067,94103,19977.9411765,1.36,27170.0,23481.6626426
3068,94121,13377.5974026,3.08,41203.0,29058.4811543
3070,94112,23633.0357143,3.36,79407.0,18441.9432796
3071,94103,19977.9411765,1.36,27170.0,23481.6626426
3073,94107,14859.7765363,1.79,26599.0,49267.0613557
3074,94102,46531.3432836,0.67,31176.0,15423.1812292
3075,94107,14859.7765363,1.79,26599.0,49267.0613557
3076,94117,23176.9230769,1.69,39169.0,38289.6465317
3078,94127,10897.740113,1.77,19289.0,43491.6667531
3079,94127,10897.740113,1.77,19289.0,43491.6667531
3080,94114,21765.034965,1.43,31124.0,55081.8068693
3084,94112,23633.0357143,3.36,79407.0,18441.9432796
3087,94114,21765.034965,1.43,31124.0,55081.8068693
3088,94112,23633.0357143,3.36,79407.0,18441.9432796
3090,94103,19977.9411765,1.36,27170.0,23481.6626426
3092,94110,29756.6523605,2.33,69333.0,27502.0329136
3093,94110,29756.6523605,2.33,69333.0,27502.0329136
3094,94116,16871.8146718,2.59,43698.0,26774.0563184
3095,94103,19977.9411765,1.36,27170.0,23481.6626426
3096,94114,21765.034965,1.43,31124.0,55081.8068693
3097,94107,14859.7765363,1.79,26599.0,49267.0613557
3098,94112,23633.0357143,3.36,79407.0,18441.9432796
3099,94121,13377.5974026,3.08,41203.0,29058.4811543
3104,94110,29756.6523605,2.33,69333.0,27502.0329136
3106,94158,7260.60606061,0.66,4792.0,38522.5550918
3107,94121,13377.5974026,3.08,41203.0,29058.4811543
3109,94114,21765.034965,1.43,31124.0,55081.8068693
3110,94110,29756.6523605,2.33,69333.0,27502.0329136
3112,94102,46531.3432836,0.67,31176.0,15423.1812292
3115,94124,6895.74036511,4.93,33996.0,13046.1346629
3116,94132,9044.69453376,3.11,28129.0,19735.4509581
3118,94115,29483.0357143,1.12,33021.0,43106.9525756
3119,94127,10897.740113,1.77,19289.0,43491.6667531
3120,94123,22635.2941176,1.02,23088.0,71547.6329695
3121,94112,23633.0357143,3.36,79407.0,18441.9432796
3123,94103,19977.9411765,1.36,27170.0,23481.6626426
3125,94111,10920.5882353,0.34,3713.0,70755.441422
3126,94112,23633.0357143,3.36,79407.0,18441.9432796
3128,94158,7260.60606061,0.66,4792.0,38522.5550918
3129,94124,6895.74036511,4.93,33996.0,13046.1346629
3131,94110,29756.6523605,2.33,69333.0,27502.0329136
3134,94134,16999.1666667,2.4,40798.0,16602.7983725
3135,94115,29483.0357143,1.12,33021.0,43106.9525756
3140,94127,10897.740113,1.77,19289.0,43491.6667531
3141,94133,34522.3684211,0.76,26237.0,28489.6979456
3143,94122,23738.559322,2.36,56023.0,26177.8981311
3144,94117,23176.9230769,1.69,39169.0,38289.6465317
3148,94124,6895.74036511,4.93,33996.0,13046.1346629
3151,94121,13377.5974026,3.08,41203.0,29058.4811543
3152,94121,13377.5974026,3.08,41203.0,29058.4811543
3154,94117,23176.9230769,1.69,39169.0,38289.6465317
3155,94127,10897.740113,1.77,19289.0,43491.6667531
3157,94117,23176.9230769,1.69,39169.0,38289.6465317
3158,94109,47045.3781513,1.19,55984.0,33224.3382216
3159,94114,21765.034965,1.43,31124.0,55081.8068693
3160,94118,19650.7692308,1.95,38319.0,41202.501083
3162,94103,19977.9411765,1.36,27170.0,23481.6626426
3164,94103,19977.9411765,1.36,27170.0,23481.6626426
3165,94131,12923.5576923,2.08,26881.0,43765.7415647
3166,94110,29756.6523605,2.33,69333.0,27502.0329136
3167,94117,23176.9230769,1.69,39169.0,38289.6465317
3171,94109,47045.3781513,1.19,55984.0,33224.3382216
3173,94127,10897.740113,1.77,19289.0,43491.6667531
3174,94102,46531.3432836,0.67,31176.0,15423.1812292
3175,94134,16999.1666667,2.4,40798.0,16602.7983725
3176,94127,10897.740113,1.77,19289.0,43491.6667531
3177,94117,23176.9230769,1.69,39169.0,38289.6465317
3178,94134,16999.1666667,2.4,40798.0,16602.7983725
3180,94127,10897.740113,1.77,19289.0,43491.6667531
3181,94103,19977.9411765,1.36,27170.0,23481.6626426
3183,94110,29756.6523605,2.33,69333.0,27502.0329136
